# column 1: lambda (micron)
# column 2: total kappa_ext (m2/kg)
# column 3: total kappa_abs (m2/kg)
# column 4: total kappa_sca (m2/kg)
# column 5: mean asymmpar
#lambda      ext          abs          sca          asy
2.097046e-01 5.527889e+03 1.316364e+03 4.211525e+03 5.419563e-01
2.247806e-01 5.057707e+03 1.098294e+03 3.959413e+03 5.434718e-01
2.409404e-01 4.601623e+03 9.639771e+02 3.637646e+03 5.490378e-01
2.582619e-01 4.193178e+03 8.738853e+02 3.319293e+03 5.524003e-01
2.768287e-01 3.855894e+03 8.111261e+02 3.044768e+03 5.560562e-01
2.967302e-01 3.562861e+03 7.630167e+02 2.799844e+03 5.591481e-01
3.180626e-01 3.299354e+03 7.152776e+02 2.584076e+03 5.616543e-01
3.409285e-01 3.056174e+03 6.729887e+02 2.383185e+03 5.635647e-01
3.654383e-01 2.832764e+03 6.319213e+02 2.200843e+03 5.651839e-01
3.917101e-01 2.626145e+03 5.942309e+02 2.031914e+03 5.661723e-01
4.198707e-01 2.426118e+03 5.570705e+02 1.869048e+03 5.656600e-01
4.500558e-01 2.236767e+03 5.221879e+02 1.714579e+03 5.643023e-01
4.824109e-01 2.048662e+03 4.883467e+02 1.560315e+03 5.604295e-01
5.170920e-01 1.872063e+03 4.571164e+02 1.414947e+03 5.551058e-01
5.542665e-01 1.703987e+03 4.275402e+02 1.276446e+03 5.478114e-01
5.941134e-01 1.544670e+03 3.995115e+02 1.145159e+03 5.382830e-01
6.368250e-01 1.394801e+03 3.730611e+02 1.021740e+03 5.267542e-01
6.826072e-01 1.253931e+03 3.479660e+02 9.059649e+02 5.125658e-01
7.316807e-01 1.125051e+03 3.244119e+02 8.006389e+02 4.967512e-01
7.842822e-01 1.006666e+03 3.020530e+02 7.046133e+02 4.791497e-01
8.406653e-01 8.998700e+02 2.813905e+02 6.184796e+02 4.602241e-01
9.011018e-01 8.018665e+02 2.615891e+02 5.402774e+02 4.402515e-01
9.658832e-01 7.145507e+02 2.434327e+02 4.711180e+02 4.194520e-01
1.035322e+00 6.361377e+02 2.263879e+02 4.097498e+02 3.974922e-01
1.109752e+00 5.667885e+02 2.106105e+02 3.561780e+02 3.743746e-01
1.189534e+00 5.060823e+02 1.961634e+02 3.099189e+02 3.498716e-01
1.275051e+00 4.522878e+02 1.827259e+02 2.695620e+02 3.260918e-01
1.366716e+00 4.061228e+02 1.706247e+02 2.354981e+02 3.032992e-01
1.464971e+00 3.657255e+02 1.594767e+02 2.062488e+02 2.834193e-01
1.570290e+00 3.304614e+02 1.492916e+02 1.811697e+02 2.662632e-01
1.683180e+00 2.988920e+02 1.397322e+02 1.591598e+02 2.504713e-01
1.804186e+00 2.704848e+02 1.308667e+02 1.396181e+02 2.361644e-01
1.933892e+00 2.449952e+02 1.227043e+02 1.222909e+02 2.215660e-01
2.072922e+00 2.219015e+02 1.150255e+02 1.068760e+02 2.063625e-01
2.221947e+00 2.010025e+02 1.078366e+02 9.316585e+01 1.900536e-01
2.381686e+00 1.817828e+02 1.010066e+02 8.077620e+01 1.724091e-01
2.552908e+00 1.641424e+02 9.451311e+01 6.962934e+01 1.531720e-01
2.736440e+00 1.480327e+02 8.837946e+01 5.965322e+01 1.326320e-01
2.933166e+00 1.333076e+02 8.257566e+01 5.073196e+01 1.109481e-01
3.144035e+00 1.199276e+02 7.709778e+01 4.282985e+01 8.841873e-02
3.370064e+00 1.078685e+02 7.203385e+01 3.583464e+01 6.585885e-02
3.612343e+00 9.664228e+01 6.699408e+01 2.964820e+01 4.359499e-02
3.872039e+00 8.654476e+01 6.223236e+01 2.431239e+01 2.259106e-02
4.150405e+00 7.747149e+01 5.772658e+01 1.974491e+01 2.986085e-03
4.448783e+00 6.930857e+01 5.344009e+01 1.586848e+01 -1.458456e-02
4.768612e+00 6.219951e+01 4.960442e+01 1.259509e+01 -2.951027e-02
5.111433e+00 5.619270e+01 4.631677e+01 9.875937e+00 -4.205955e-02
5.478901e+00 5.136136e+01 4.369960e+01 7.661760e+00 -5.279127e-02
5.872787e+00 4.771731e+01 4.183287e+01 5.884436e+00 -6.154814e-02
6.294989e+00 4.501342e+01 4.053750e+01 4.475929e+00 -6.952855e-02
6.747544e+00 4.238386e+01 3.901393e+01 3.369935e+00 -7.340966e-02
7.232634e+00 4.258316e+01 4.006764e+01 2.515526e+00 -7.720438e-02
7.752597e+00 6.459478e+01 6.272487e+01 1.869910e+00 -7.951056e-02
8.309942e+00 1.445991e+02 1.431875e+02 1.411566e+00 -7.936305e-02
8.907355e+00 2.524689e+02 2.513680e+02 1.100944e+00 -7.563011e-02
9.547716e+00 3.290523e+02 3.281543e+02 8.979778e-01 -6.773188e-02
1.023411e+01 2.781799e+02 2.774852e+02 6.947326e-01 -6.323707e-02
1.096986e+01 2.097252e+02 2.092028e+02 5.224539e-01 -6.053764e-02
1.175850e+01 1.531350e+02 1.527468e+02 3.882535e-01 -5.845865e-02
1.260383e+01 1.100017e+02 1.097167e+02 2.849753e-01 -5.719077e-02
