# column 1: lambda (micron)
# column 2: total kappa_ext (m2/kg)
# column 3: total kappa_abs (m2/kg)
# column 4: total kappa_sca (m2/kg)
# column 5: mean asymmpar
#lambda      ext          abs          sca          asy
2.097046e-01 1.047914e+04 5.622210e+03 4.856934e+03 5.158000e-01
2.247806e-01 1.042938e+04 5.379394e+03 5.049986e+03 4.813648e-01
2.409404e-01 9.155570e+03 4.313159e+03 4.842411e+03 4.675743e-01
2.582619e-01 8.047723e+03 3.612760e+03 4.434964e+03 4.691986e-01
2.768287e-01 7.320683e+03 3.260329e+03 4.060354e+03 4.787723e-01
2.967302e-01 6.793183e+03 3.038217e+03 3.754967e+03 4.896537e-01
3.180626e-01 6.341040e+03 2.839709e+03 3.501331e+03 4.970399e-01
3.409285e-01 5.928510e+03 2.658979e+03 3.269531e+03 5.017078e-01
3.654383e-01 5.555574e+03 2.501699e+03 3.053875e+03 5.023441e-01
3.917101e-01 5.203100e+03 2.352031e+03 2.851069e+03 4.996950e-01
4.198707e-01 4.855380e+03 2.200388e+03 2.654993e+03 4.936746e-01
4.500558e-01 4.509534e+03 2.044707e+03 2.464826e+03 4.858326e-01
4.824109e-01 4.171382e+03 1.896421e+03 2.274961e+03 4.748972e-01
5.170920e-01 3.853607e+03 1.759077e+03 2.094530e+03 4.621834e-01
5.542665e-01 3.553672e+03 1.629737e+03 1.923934e+03 4.476549e-01
5.941134e-01 3.271775e+03 1.507975e+03 1.763800e+03 4.310560e-01
6.368250e-01 2.999747e+03 1.392291e+03 1.607455e+03 4.118715e-01
6.826072e-01 2.743085e+03 1.283976e+03 1.459109e+03 3.920249e-01
7.316807e-01 2.501769e+03 1.182791e+03 1.318977e+03 3.724843e-01
7.842822e-01 2.271097e+03 1.088066e+03 1.183031e+03 3.520524e-01
8.406653e-01 2.049512e+03 9.985346e+02 1.050977e+03 3.289279e-01
9.011018e-01 1.836742e+03 9.148535e+02 9.218887e+02 3.020946e-01
9.658832e-01 1.641045e+03 8.380042e+02 8.030404e+02 2.742009e-01
1.000000e+00 1.551357e+03 8.025057e+02 7.488511e+02 2.603680e-01
1.047616e+00 1.433577e+03 7.565099e+02 6.770672e+02 2.416677e-01
1.097499e+00 1.322023e+03 7.129953e+02 6.090280e+02 2.223180e-01
1.149757e+00 1.216772e+03 6.718453e+02 5.449264e+02 2.019192e-01
1.204504e+00 1.117537e+03 6.326950e+02 4.848424e+02 1.803218e-01
1.261857e+00 1.023931e+03 5.950933e+02 4.288378e+02 1.575507e-01
1.321941e+00 9.376336e+02 5.593371e+02 3.782965e+02 1.352062e-01
1.384886e+00 8.577145e+02 5.250755e+02 3.326390e+02 1.151215e-01
1.450829e+00 7.835290e+02 4.922340e+02 2.912950e+02 9.726976e-02
1.519911e+00 7.148682e+02 4.608864e+02 2.539818e+02 8.173741e-02
1.592283e+00 6.515562e+02 4.310803e+02 2.204760e+02 6.837380e-02
1.668101e+00 5.918854e+02 4.020433e+02 1.898421e+02 5.704796e-02
1.747528e+00 5.360186e+02 3.739311e+02 1.620875e+02 4.749833e-02
1.830738e+00 4.849455e+02 3.473484e+02 1.375971e+02 3.945284e-02
1.917910e+00 4.382403e+02 3.221779e+02 1.160624e+02 3.272208e-02
2.009233e+00 3.955191e+02 2.983032e+02 9.721588e+01 2.716575e-02
2.104904e+00 3.569534e+02 2.759353e+02 8.101814e+01 2.289046e-02
2.205131e+00 3.223867e+02 2.550966e+02 6.729013e+01 1.977806e-02
2.310130e+00 2.912308e+02 2.355875e+02 5.564330e+01 1.744671e-02
2.420128e+00 2.634181e+02 2.175113e+02 4.590680e+01 1.576249e-02
2.535364e+00 2.387127e+02 2.008677e+02 3.784503e+01 1.456864e-02
2.656088e+00 2.166170e+02 1.854663e+02 3.115068e+01 1.374036e-02
2.782559e+00 1.967394e+02 1.711474e+02 2.559207e+01 1.330360e-02
2.915053e+00 1.790424e+02 1.580109e+02 2.103157e+01 1.308111e-02
3.053856e+00 1.631973e+02 1.459106e+02 1.728669e+01 1.300687e-02
3.199267e+00 1.490380e+02 1.348254e+02 1.421261e+01 1.300359e-02
3.351603e+00 1.365134e+02 1.248198e+02 1.169365e+01 1.298289e-02
3.511192e+00 1.250128e+02 1.153991e+02 9.613699e+00 1.296096e-02
3.678380e+00 1.146863e+02 1.067794e+02 7.906911e+00 1.292490e-02
3.853529e+00 1.054011e+02 9.889415e+01 6.506996e+00 1.280214e-02
4.037017e+00 9.702444e+01 9.166690e+01 5.357542e+00 1.256270e-02
4.229243e+00 8.943178e+01 8.501973e+01 4.412047e+00 1.220889e-02
4.430621e+00 8.253876e+01 7.890447e+01 3.634292e+00 1.175974e-02
4.641589e+00 7.635007e+01 7.335696e+01 2.993115e+00 1.127351e-02
4.862602e+00 7.079026e+01 6.832608e+01 2.464178e+00 1.075280e-02
5.094138e+00 6.581283e+01 6.378436e+01 2.028467e+00 1.016872e-02
5.336699e+00 6.138381e+01 5.971389e+01 1.669915e+00 9.507005e-03
5.590810e+00 5.749808e+01 5.612488e+01 1.373195e+00 8.887357e-03
5.857021e+00 5.416686e+01 5.303765e+01 1.129209e+00 8.282737e-03
6.135907e+00 5.112284e+01 5.019536e+01 9.274747e-01 7.842165e-03
6.428073e+00 4.841278e+01 4.765229e+01 7.604914e-01 7.329005e-03
6.734151e+00 4.602159e+01 4.539935e+01 6.222353e-01 6.589037e-03
7.054802e+00 4.378319e+01 4.327570e+01 5.074947e-01 5.995183e-03
7.390722e+00 4.489999e+01 4.448928e+01 4.107106e-01 5.429856e-03
7.742637e+00 5.617920e+01 5.584487e+01 3.343302e-01 4.813340e-03
8.111308e+00 8.398981e+01 8.371125e+01 2.785624e-01 4.175558e-03
8.497534e+00 1.296822e+02 1.294395e+02 2.426878e-01 3.568590e-03
8.902151e+00 1.745941e+02 1.743731e+02 2.210409e-01 3.051136e-03
9.326033e+00 2.156693e+02 2.154552e+02 2.141132e-01 2.611006e-03
9.770100e+00 2.134978e+02 2.133017e+02 1.961618e-01 2.261131e-03
1.023531e+01 1.891817e+02 1.890108e+02 1.709171e-01 1.965459e-03
1.072267e+01 1.600930e+02 1.599481e+02 1.448976e-01 1.698997e-03
1.123324e+01 1.300914e+02 1.299733e+02 1.181049e-01 1.441364e-03
1.176812e+01 1.071345e+02 1.070378e+02 9.669296e-02 1.179674e-03
1.232847e+01 8.739714e+01 8.731906e+01 7.807232e-02 8.337155e-04
1.291550e+01 7.166569e+01 7.160315e+01 6.253828e-02 4.387032e-04
1.353048e+01 6.047101e+01 6.042129e+01 4.972054e-02 1.335838e-05
1.417474e+01 5.427486e+01 5.423561e+01 3.924297e-02 -4.267746e-04
1.484968e+01 5.795820e+01 5.792666e+01 3.153968e-02 -8.021730e-04
1.555676e+01 6.414519e+01 6.411907e+01 2.612461e-02 -1.082668e-03
1.629751e+01 7.145966e+01 7.143752e+01 2.213859e-02 -1.307894e-03
1.707353e+01 7.842753e+01 7.840839e+01 1.914617e-02 -1.475392e-03
1.788650e+01 8.310311e+01 8.308627e+01 1.683518e-02 -1.581325e-03
1.873817e+01 8.295254e+01 8.293768e+01 1.485788e-02 -1.661569e-03
1.963041e+01 7.781908e+01 7.780623e+01 1.285180e-02 -1.816232e-03
2.056512e+01 7.166507e+01 7.165415e+01 1.092386e-02 -1.979659e-03
2.154435e+01 6.590008e+01 6.589087e+01 9.203654e-03 -2.123015e-03
2.257020e+01 6.097112e+01 6.096338e+01 7.740706e-03 -2.233649e-03
2.364489e+01 5.661430e+01 5.660782e+01 6.480334e-03 -2.337427e-03
2.477076e+01 5.284246e+01 5.283702e+01 5.440713e-03 -2.503520e-03
2.595024e+01 4.940766e+01 4.940310e+01 4.560411e-03 -2.621828e-03
2.718588e+01 4.629151e+01 4.628769e+01 3.820724e-03 -2.691199e-03
2.848036e+01 4.346554e+01 4.346233e+01 3.203668e-03 -2.718499e-03
2.983647e+01 4.087785e+01 4.087516e+01 2.690527e-03 -2.710421e-03
3.125716e+01 3.839721e+01 3.839495e+01 2.259227e-03 -2.669579e-03
3.274549e+01 3.606233e+01 3.606043e+01 1.897905e-03 -2.594956e-03
3.430469e+01 3.385471e+01 3.385312e+01 1.593850e-03 -2.485513e-03
3.593814e+01 3.174246e+01 3.174113e+01 1.337910e-03 -2.345189e-03
3.764936e+01 2.969046e+01 2.968934e+01 1.123117e-03 -2.182924e-03
3.944206e+01 2.760111e+01 2.760016e+01 9.432663e-04 -1.996831e-03
4.132012e+01 2.556266e+01 2.556187e+01 7.915814e-04 -1.799265e-03
4.328761e+01 2.359582e+01 2.359515e+01 6.635283e-04 -1.571175e-03
4.534879e+01 2.171589e+01 2.171534e+01 5.555696e-04 -1.285544e-03
4.750810e+01 1.993504e+01 1.993457e+01 4.647393e-04 -9.181306e-04
4.977024e+01 1.824537e+01 1.824498e+01 3.881564e-04 -4.795411e-04
5.214008e+01 1.666288e+01 1.666256e+01 3.240033e-04 -2.670254e-05
5.462277e+01 1.519274e+01 1.519247e+01 2.702048e-04 3.991854e-04
5.722368e+01 1.383268e+01 1.383245e+01 2.252142e-04 7.833101e-04
5.994843e+01 1.257920e+01 1.257901e+01 1.876755e-04 1.118509e-03
6.280291e+01 1.142612e+01 1.142597e+01 1.562477e-04 1.385060e-03
6.579332e+01 1.036694e+01 1.036681e+01 1.299608e-04 1.580011e-03
6.892612e+01 9.404513e+00 9.404405e+00 1.080783e-04 1.717577e-03
7.220809e+01 8.529703e+00 8.529613e+00 8.987375e-05 1.801456e-03
7.564633e+01 7.733824e+00 7.733749e+00 7.472250e-05 1.836308e-03
7.924829e+01 7.010394e+00 7.010332e+00 6.209357e-05 1.826130e-03
8.302176e+01 6.356178e+00 6.356126e+00 5.159098e-05 1.754426e-03
8.697490e+01 5.765914e+00 5.765871e+00 4.286077e-05 1.634999e-03
9.111628e+01 5.231792e+00 5.231757e+00 3.560077e-05 1.490522e-03
9.545485e+01 4.747716e+00 4.747687e+00 2.956282e-05 1.337714e-03
1.000000e+02 4.309234e+00 4.309210e+00 2.454279e-05 1.183416e-03
1.011638e+02 4.206964e+00 4.206940e+00 2.342879e-05 1.139405e-03
1.084366e+02 3.646792e+00 3.646774e+00 1.774007e-05 8.709189e-04
1.162322e+02 3.175266e+00 3.175252e+00 1.345420e-05 5.983320e-04
1.245883e+02 2.775549e+00 2.775538e+00 1.018378e-05 3.491340e-04
1.335452e+02 2.444269e+00 2.444261e+00 7.731668e-06 1.384445e-04
1.431459e+02 2.135258e+00 2.135252e+00 5.883203e-06 -3.345989e-05
1.534368e+02 1.837519e+00 1.837515e+00 4.463099e-06 -1.742294e-04
1.644676e+02 1.582059e+00 1.582055e+00 3.382349e-06 -2.867328e-04
1.762914e+02 1.365755e+00 1.365753e+00 2.558470e-06 -3.783335e-04
1.889652e+02 1.183218e+00 1.183216e+00 1.939012e-06 -4.519312e-04
2.025502e+02 1.025550e+00 1.025548e+00 1.466208e-06 -5.102359e-04
2.171118e+02 8.905744e-01 8.905732e-01 1.110715e-06 -5.573602e-04
2.327202e+02 7.737376e-01 7.737367e-01 8.411586e-07 -5.948016e-04
2.494508e+02 6.726828e-01 6.726821e-01 6.372697e-07 -6.254927e-04
2.673842e+02 5.849942e-01 5.849937e-01 4.827860e-07 -6.451333e-04
2.866068e+02 5.085933e-01 5.085929e-01 3.653724e-07 -6.603502e-04
3.072113e+02 4.425493e-01 4.425491e-01 2.767808e-07 -6.702729e-04
3.292971e+02 3.853143e-01 3.853141e-01 2.097747e-07 -6.744026e-04
3.529707e+02 3.354223e-01 3.354221e-01 1.588347e-07 -6.753383e-04
3.783463e+02 2.920171e-01 2.920170e-01 1.202896e-07 -6.712376e-04
4.055461e+02 2.543420e-01 2.543419e-01 9.114501e-08 -6.621693e-04
4.347013e+02 2.215298e-01 2.215297e-01 6.905403e-08 -6.502796e-04
4.659526e+02 1.929838e-01 1.929837e-01 5.231797e-08 -6.356032e-04
4.994505e+02 1.680994e-01 1.680994e-01 3.962454e-08 -6.181758e-04
5.353567e+02 1.464451e-01 1.464451e-01 3.001144e-08 -5.960891e-04
5.738442e+02 1.275909e-01 1.275909e-01 2.272843e-08 -5.723994e-04
6.150986e+02 1.111975e-01 1.111975e-01 1.722374e-08 -5.472947e-04
6.593188e+02 9.687492e-02 9.687490e-02 1.304215e-08 -5.198540e-04
7.067181e+02 8.441093e-02 8.441092e-02 9.878529e-09 -4.906696e-04
7.575250e+02 7.356551e-02 7.356550e-02 7.484731e-09 -4.614698e-04
8.119845e+02 6.409933e-02 6.409932e-02 5.669307e-09 -4.295608e-04
8.703591e+02 5.585951e-02 5.585950e-02 4.295457e-09 -3.967210e-04
9.329304e+02 4.867284e-02 4.867283e-02 3.253916e-09 -3.649938e-04
1.000000e+03 4.240628e-02 4.240627e-02 2.464623e-09 -3.253042e-04
