       id  redshift  xray_boxcar_2to7keV  xray_boxcar_2to7keV_err  cfht.megacam.u      cfht.megacam.u_err  cfht.megacam.g      cfht.megacam.g_err  cfht.megacam.r      cfht.megacam.r_err  cfht.megacam.inew   cfht.megacam.inew_err  cfht.megacam.z      cfht.megacam.z_err   WFCAM_Y             WFCAM_Y_err   WFCAM_J            WFCAM_J_err   WFCAM_K            WFCAM_K_err       N2                N2_err      N3                 N3_err      N4                N4_err      S7                 S7_err     S9W               S9W_err     S11               S11_err     L15               L15_err    L18W              L18W_err    L24              L24_err  PACS_green      PACS_green_err  PACS_red        PACS_red_err 
 61008972       1.1            2.158e-06    3.032138519263261e-07        0.001207  0.00019175372225852617        0.004545   0.0006480850638612188        0.008096    0.001164483215851564            0.01488    0.002141435032869314         0.03043    0.004372579215977682   0.03323    0.005093322000423692   0.04546   0.006967389468086308   0.08212   0.012309583421058569    0.114   0.01684399002611911   0.154    0.02257011298155151   0.147  0.021727632176562636   0.142   0.024122396232547045   0.147   0.02308527669316528   0.163   0.03179591168688201   0.367   0.05900279654389273   0.495   0.07414371180349687  0.759  0.12427135631351258       5.286  1.0758192041416625       nan                 nan 
 61009352       1.1            8.258e-07   1.6426641896626345e-07        0.008349   0.0012416195109613895        0.003815   0.0005484325391513526        0.005203   0.0007484357621065418           0.006032   0.0008671673656221157        0.006477   0.0009909668460649933  0.005721   0.0010014900948087306  0.009764   0.001706855869720698   0.01624  0.0026944157066050517   0.0432  0.007466625743935476    0.06   0.012093386622447825  0.0716  0.010901100861839597   0.068   0.011985695641054799  0.0854  0.014566111354785121   0.116  0.021414014102918676   0.187  0.055354313291739066   0.236    0.0402457451167201   0.23  0.06547281878764653       4.308  1.0778370192195108       nan                 nan 
 61009558       1.3            1.303e-07    6.374590888833573e-08       0.0002949   5.813493011950732e-05       0.0009237  0.00013605964464160562        0.001501  0.00022084838690830414           0.002379  0.00035020766696347474        0.004522   0.0007681964852822487  0.003677   0.0008209502360070311  0.007407   0.001872708330199874   0.01401   0.002761738763894949   0.0339  0.005690079085566386   0.046   0.008977978614365263  0.0593  0.011626044039139024  0.0473    0.00961404181393029  0.0553  0.011035551640040475  0.0499  0.014298954507235836    0.11   0.02513483638299641   0.162   0.09587851688464939  0.277  0.09646268708676946         nan                 nan       nan                 nan 
 61009629       0.3            2.529e-06    3.109974437193978e-07        0.008988   0.0013445599428809412         0.04892      0.0069737051844769          0.1381    0.019665098525051942             0.2072     0.02957242634617593          0.3276     0.04671303458350785    0.3677    0.054701763225695026    0.5031     0.0748348588560171    0.8063    0.11994430749310282     0.81   0.11748621195697817   0.588    0.08610371652838221   0.432   0.06562469047546053   0.598    0.08513753578768886   0.873   0.12395680699340396    1.05      0.14991330828182    1.42    0.2029507329378241    1.97    0.2800178565734693   2.68    0.392674165180242       13.74  2.1165953793769843       nan                 nan 
 61009942       1.0            9.286e-07   1.5094363053802568e-07       0.0009071   0.0001504270723639864        0.001728   0.0002546150820356092        0.003735   0.0005501983733163886           0.007456   0.0010979778504141148         0.01583   0.0023302336792690986   0.02175    0.003451525025260573   0.02976   0.004724984232777926    0.0563   0.008629513311884976    0.112   0.01715925406304132   0.128    0.02168155898453799   0.112   0.01670927885936434   0.117    0.01863169342813476   0.141  0.026046496885377888    0.12                0.0218   0.197  0.045397136473570666   0.285    0.0463876061033548  0.477   0.1775282794373899         nan                 nan       nan                 nan 
 61009952       0.3            1.329e-06    1.852117976803854e-07         0.01185   0.0017590409318716832          0.0348    0.004964070910049533         0.07384    0.010532025256331283              0.101    0.014425671561490647          0.1498    0.021341049646163145    0.1491    0.022164568572385974    0.1984   0.029699084160963618    0.3424    0.05092806299085014    0.386   0.05594827968758289   0.368    0.06248591841367142   0.382  0.056847603291607644   0.507     0.0723398230575663   0.746   0.10880165439918642   0.971    0.1388130037136291    1.52   0.22214409737825583    1.83    0.2659661632614194   2.52  0.36424305072300284       15.24    2.38148609065852     27.55   4.207424984476847 
 61009975       0.9            5.328e-07   1.4142050204973817e-07       0.0007074  0.00013162502649572382        0.001505  0.00022185411873571338        0.003769   0.0005416406650169465            0.01078   0.0015473150939611493         0.02048     0.00294766076745612   0.02407    0.003684799723187137   0.03088   0.004735382138750789   0.05476    0.00839262628740253   0.0698  0.010609453331816865  0.0828   0.016871526309139906  0.0776  0.013056324138133214  0.0659   0.011735084149676984  0.0807  0.022964644565070018    0.11   0.02640075756488817   0.197   0.03472823059126393    0.25   0.04196057673578856  0.427  0.20352958015973993         nan                 nan       nan                 nan 
 61010172       1.6            8.979e-07   1.6463974034236082e-07        0.002922  0.00043778629489740767         0.00503   0.0007170285907828223        0.006085   0.0008751646987853202           0.006434   0.0009253045768826608        0.009107   0.0013899188789278315   0.01131   0.0019839508562461924   0.01744   0.003056409004043798   0.02457   0.004082211288015358   0.0495  0.009853572956039855  0.0726   0.010869944802067764   0.085  0.015868522300453814  0.0577   0.011277810071108665  0.0469  0.024061506602870902  0.0486     0.017777221380182   0.233   0.03910051150560565   0.267  0.044021472033542904   0.25   0.0671289058453957         nan                 nan       nan                 nan 
 61010363       0.8            1.869e-06   2.6227392169256936e-07         0.01081    0.001607688091639669        0.009409   0.0013420662465020124         0.01237   0.0017657205328137295            0.01447   0.0020841806543579664         0.01404   0.0020183448664685627   0.01505    0.002384853244960788   0.01895    0.00300331899737607   0.02821   0.004479781356271755   0.0353  0.005870008517881384  0.0523    0.00946599175997951  0.0712  0.012194441356618187   0.112   0.019123022773609825   0.142  0.027030353308826728   0.128  0.022743790361327197   0.186  0.046300323972948615   0.195  0.035362409420173845  0.305  0.09787364303018459         nan                 nan       nan                 nan 
 61010655       0.8             3.92e-07   1.1301610504702417e-07        0.004505   0.0006752475472002842        0.009496   0.0013545833898287694         0.01295    0.001849168732160481            0.01961   0.0027938541479468827         0.02675    0.003843595322091024   0.03958    0.005933141157936494    0.0463  0.0070979785854847445   0.07771   0.011650357977332713    0.154  0.023917566765873154   0.168   0.024548930730278255   0.138   0.03293098844553561   0.162    0.03080389585750478   0.194   0.03062760193028504   0.257   0.03950303785786607   0.439   0.06714052427558188   0.573    0.0847911551991126  0.776  0.14968553704349663         nan                 nan       nan                 nan 
