     id    redshift  xray_boxcar_2to10keV  xray_boxcar_2to10keV_err  xray_boxcar_0p5to2keV  xray_boxcar_0p5to2keV_err           galex.FUV       galex.FUV_err           galex.NUV       galex.NUV_err             u_prime         u_prime_err             g_prime         g_prime_err             r_prime         r_prime_err             i_prime         i_prime_err             z_prime         z_prime_err          UKIRT_WFCJ      UKIRT_WFCJ_err             ukirt.H         ukirt.H_err            ukirt.Ks        ukirt.Ks_err               WISE1           WISE1_err               WISE2           WISE2_err               WISE3           WISE3_err               WISE4           WISE4_err          PSW             PSW_err          PMW             PMW_err          PLW             PLW_err 
   2360   0.2899608                   nan                       nan                  4.635         0.6554879861599296                 nan                 nan                 nan                 nan              5054.0  1075.2766946232957             25265.0  2571.2270417059635             94194.0   9458.323752124368            160640.0   16109.13160291392            215170.0   21843.91251584752            303130.0  30985.389605425327            406220.0  42058.969126691634            534090.0   75531.73215278464            358120.0   37940.74648712121            302010.0   34914.90800503418                 nan                 nan           2600000.0                 nan          nan                 nan          nan                 nan          nan                 nan 
   2363   0.4737327     6.976999999999999        0.9866968024677084     24.580000000000002          3.476136936313068             12488.0  1537.3914042949507             21101.0  2264.6268677201547             25405.0  2720.4538683829946             40360.0   4062.595821639165             43214.0    4353.43976643757             69900.0   7023.483822149803             87679.0   9014.947942722687            121680.0  12730.976396176375            176720.0   18798.26760635139  260730.00000000003  36872.790211753716            401450.0   42275.09343573353            601490.0    64135.8698467558            999060.0  168913.13991516468           3470400.0   940471.9940540495          nan                 nan          nan                 nan          nan                 nan 
   2368   0.7315395                 7.006        0.9907980217985906                  0.719        0.10168195513462554                 nan                 nan                 nan                 nan              7240.8   983.3864989921308             11964.0    1233.51248473617             19961.0  2041.3022926553529             21257.0  2196.3783326194057             79783.0   8276.598026363248             38241.0   5280.900000000001             52503.0   8204.795859130196             88895.0  12571.651462715628            309620.0   32908.47829967226            669930.0   71432.52864766863           3011800.0  351229.10243884975           8106400.0  1481464.5488839753          nan                 nan          nan                 nan          nan                 nan 
   2373   0.5697359                 1.857       0.26261945853268376                  4.719         0.6673673800838636                 nan                 nan                 nan                 nan  2463.2999999999997   669.9309433814801              9252.0   967.2806624759951             25854.0  2626.9545713620555             49890.0   5038.356205152629             68405.0   7236.161983399764            101220.0  12965.233819719566            146650.0  18654.841864781378            240250.0   33976.48083601361            395570.0   41413.32936386544            481760.0   52067.16312610089           1232600.0   191915.1833493119           2470700.0   1107900.530237259   59182000.0  11948618.800514141   32913000.0  10784505.352124408          nan                 nan 
   2379    0.663527                 4.284        0.6058490901206339                  15.68          2.217486865801013                 nan                 nan                 nan                 nan             26435.0  2811.3608555288665             38657.0  3890.2995681566736             39808.0  4009.3597905401307             39109.0   3950.140246877318             40187.0   4331.443834335152             49900.0   6179.492293060976             54724.0   8182.301067548175             65888.0    9317.97031976385             97370.0   12055.40679529314            156180.0  21544.083271283558            386920.0   174542.5760781592                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2387   0.3615238    1.9880000000000002       0.28114565619977133                  8.262          1.168423245232651             10676.0  2092.7899464590323             40209.0   4502.478518549533             21357.0   2345.493263686767             28242.0  2854.1368099654933             49153.0   4949.401387036619   64617.00000000001    6500.67715934271             94083.0   9682.040326811288            122560.0  13806.555870310307            150990.0   18817.35106225103            195960.0   27712.92896826317            146830.0   16757.45401306535            139070.0   20572.56058442896            637730.0  153204.06498849826                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2388   0.5424306                   nan                       nan                  3.766         0.5325928275897077                 nan                 nan                 nan                 nan              6912.8   984.9419264098774             12716.0  1307.1087636459333             18285.0   1873.401062239477             28903.0  2949.8241049255803             38131.0   4315.573265511779             49489.0   6157.638119441578             53339.0   8088.070796549694             78360.0  11081.777474755572            156470.0  17708.824297507726            210490.0   27088.05827297335            521740.0  163924.63596421375           2645000.0  1286484.0651947462          nan                 nan          nan                 nan          nan                 nan 
   2390     0.19587                 7.677        1.0856917518338252                  13.31         1.8823182515185897                 nan                 nan                 nan                 nan            114440.0  11707.942603207448            230900.0  23120.029930776473            424350.0   42468.91844631789            640530.0   64096.83072508343            728360.0    73206.5135899805            753450.0   75817.69077200914            871510.0   87946.21538758789           1085800.0  153555.30860247067            947170.0   98359.64868278048           1090500.0  113541.74078285042           5134600.0   541629.8843306192           9654500.0  1461335.9307496685   51898000.0  11310902.883501388   35136000.0  10731495.001163632          nan                 nan 
   2407   0.4918179                 3.906         0.552391817462931                   2.66        0.37618080759124334             30169.0   3365.672237458663             68007.0   6939.899818441187             95406.0   9720.218534580383            116720.0   11697.39056755822            110140.0  11044.112503954313            156300.0  15672.764561493292            145930.0  14896.366335452414            148460.0  15539.068086600302            172310.0  18361.745478031222            219990.0  31111.284158645718            402930.0   42184.42780221156            645690.0   68409.90981575695           2137100.0  255923.04331575928           7485500.0    1203043.78245349          nan                 nan          nan                 nan          nan                 nan 
   2413   0.6570781                  3.82        0.5402295808265223     13.729999999999999         1.9417152211382596                 nan                 nan                 nan                 nan             31941.0   3374.640100810752             49680.0   4993.773011461374             53733.0   5403.967329656981             60127.0   6055.121926105205             70524.0   7389.668108920725             86277.0   9395.509953695968            104030.0  12093.054411520689            130220.0  18415.889009222443            186910.0   20573.74747098836            254930.0  30269.381377887457            457420.0  161129.08044173778           3571500.0  1154625.5334522964          nan                 nan          nan                 nan          nan                 nan 
   2420   0.5519999                 1.694        0.2395677774660023                  3.464        0.48988357800604015                 nan                 nan                 nan                 nan  2793.8999999999996   827.3043346314582   8283.300000000001   890.6123898194995             27495.0  2803.9508305246723             53456.0    5402.27911255981             74267.0   7851.310838961861            104180.0  12193.425277582997            146130.0   18393.16908528816            213030.0  30126.991519234045            253290.0  27096.104258730626            215990.0  26614.268748173414            860400.0  177453.99854610208                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2435    1.067174                0.3296       0.04661247901581722     0.6447999999999999        0.09118849050181717                 nan                 nan                 nan                 nan             35191.0  3705.6694145592646             39971.0  4024.3697270504363             47700.0   4802.538454817411             47137.0   4762.324761080454             53833.0   5813.977544676278             44361.0   5782.358014685705             62492.0   8776.962438110351             75651.0  10698.667020708703            158500.0  17938.297020620437            299800.0   34361.38093848965           1225600.0  203456.90845975225           2860400.0  1340864.9751559626   93920000.0  13836013.298634835   62430000.0  12087081.905902682   27294000.0  11566642.743683234 
   2442   0.4822131                 2.559       0.36189725061127503      6.119000000000001          0.865357278816097                 nan                 nan                 nan                 nan             23235.0  2520.1256040126254             32031.0    3230.05240979152             32981.0   3331.181246945294             47467.0  4793.6544910954935             57935.0   6157.600039788229             45109.0   6358.268617320285             53973.0   8245.067391477161             63137.0   8928.920168755012            111590.0  13129.959710524628            162490.0   20909.70112172816            561800.0   151872.9811388451           2733400.0   984506.1683910366          nan                 nan          nan                 nan          nan                 nan 
   2445    1.157406                 1.676       0.23702219305373073      9.485000000000001         1.3413815639108808                 nan                 nan                 nan                 nan             34594.0   3641.770497985836             42884.0   4315.693654558906             57400.0   5771.555014898498             61838.0   6220.422689817791             60334.0   6334.877785719312             70321.0   7954.960176518799             79521.0   10164.51943822235            103600.0  14651.252506185265            197890.0   21782.31231986173            303970.0   34692.01650235973            887040.0  172718.38239168408           2736700.0   1352967.209100058          nan                 nan          nan                 nan          nan                 nan 
   2446    0.403169                 2.114        0.2989647470856723                  6.489         0.9176831806239014                 nan                 nan                 nan                 nan  2697.2999999999997    802.771127345771              9412.1   997.1863537473826             38340.0    3879.19168899914             68444.0   6891.881391898732            101060.0  10431.864886011514            151840.0   16519.53101634547            213010.0    24159.7309794625            325680.0   46058.10729936696            442620.0  46339.648725470506  519549.99999999994   56350.99311458495           1063100.0  172148.12255729077           2387000.0    940302.047216744          nan                 nan          nan                 nan          nan                 nan 
   2458  0.74693614                 4.487        0.6345576254368078                  23.45          3.316330803764908                 nan                 nan                 nan                 nan             14423.0  1650.2341955007478             24481.0  2475.4856998173104             24789.0  2514.4627994862044             29065.0   2957.413601442991             44335.0   4824.264322153172             83738.0    9169.01038498703             98857.0  11671.721787722667  130199.99999999999  18413.060582097696            188120.0  20628.804352167383            200460.0  24240.854275375692            571370.0  158179.91898151927                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2463   0.3790446    1.3840000000000001        0.1957271570324364     3.7439999999999998         0.5294815577524867                 nan                 nan                 nan                 nan              3319.2   631.8957005709091              7800.7   818.3315311657007             17583.0   1799.978027643671             28124.0  2869.2039610317006             37776.0   4215.111120717935             58738.0    9861.22545325884             76894.0  13808.974341347732             89005.0  12587.207811901733             51336.0   8058.709137324663             27697.0  12305.744109561194                 nan                 nan           2600000.0                 nan          nan                 nan          nan                 nan          nan                 nan 
   2469   0.6788668    2.3579999999999997        0.3334715580075758                  2.211         0.3126826186406913                 nan                 nan                 nan                 nan   8037.699999999999  1127.0777359614553             14264.0  1463.6483764893808             22613.0   2309.241282326297             42622.0   4319.137626888034             58638.0   6350.816596312635             81847.0  11393.453826210909            113840.0  16160.332793602984            162970.0   23047.43842599433            204370.0  22246.346059521777            171560.0   21756.67106889287            878640.0   167921.6856037361                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2471   0.3996459                   nan                       nan      4.747000000000001         0.6713271780585084                 nan                 nan                 nan                 nan             18884.0  2146.2652585363257             25372.0   2569.874722627545             38788.0  3918.8023285182426             55310.0   5586.484955676512             75084.0   7975.049502040724             76441.0  10344.043010834786             97966.0   15046.25440300675            129220.0  18274.467652985135            145620.0  16413.013982812543            152340.0    20805.3756514993            655510.0   173184.9404567268                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2474      0.7309                 1.887       0.26686209921980303                  5.946         0.8408913841870423                 nan                 nan                 nan                 nan             10735.0   1304.238758816805  16074.000000000002   1637.686480984685             18825.0  1922.0288993665001             23558.0  2414.1791420687905             30765.0  3581.6767372279705             31680.0   5159.206140483243             40017.0   7510.814795346774             72222.0  10213.733190170968            104820.0  12501.571621200272            108650.0   17142.80680052132            670460.0  168145.19355604547                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
   2476    0.934323                   nan                       nan                  8.272         1.1698374587950242                 nan                 nan                 nan                 nan             87473.0    8910.39091678923             94866.0   9511.154954052636            104970.0  10524.174202283046             97745.0   9812.277732004939            101550.0   10455.34164912845            121550.0   12852.02902268743            102130.0  12055.795494284066            160260.0   22664.18655059122            377420.0   39628.08302201862            668690.0   70629.81495799065           1330500.0  203363.57220505347           4962500.0  1141511.3063391007          nan                 nan          nan                 nan          nan                 nan 
   2482   0.5794078    1.3860000000000001         0.196009999744911                  6.297          0.890530280226338                 nan                 nan                 nan                 nan              4314.5   855.8141810580146              8460.4   894.6869182009983             16501.0  1707.0621839874493             34755.0  3545.7079208530417             47111.0   5307.776201951247             74127.0   10174.23620179913            113270.0  16141.590039398225            124710.0  17636.657336354867            148470.0   16666.39112105557            107160.0  16986.614023989594            367470.0  180186.85304150244                 nan                 nan          nan                 nan          nan                 nan          nan                 nan 
