# hst.wfc3.F336W
# photon
# HST UVIS/WFC3 F336W filter Chip 2
1990				4.78275954702534E-08
1990.64636230469				4.81898330136697E-08
1991				4.84427099035532E-08
1992				4.91620998496679E-08
1993				4.98867210543735E-08
1994				5.06170551410619E-08
1995				5.13531161863207E-08
1996				5.20954319985131E-08
1997				5.28430312659067E-08
1998				5.35964172077678E-08
1999				5.43561396112797E-08
2000				5.51211844416634E-08
2000.64819335938				5.54841437476987E-08
2001				5.51986553993898E-08
2002				5.43851736678641E-08
2003				5.35692698169858E-08
2004				5.27499047548801E-08
2005				5.19275853263133E-08
2006				5.11023183263734E-08
2007				5.02740927057244E-08
2008				4.94433738226845E-08
2009				4.86092022330859E-08
2010				4.77720623490738E-08
2010.64990234375				4.72263198867534E-08
2011				4.72474301814564E-08
2012				4.73081911471035E-08
2013				4.7368534834615E-08
2014				4.74289052611446E-08
2015				4.74893023927508E-08
2016				4.75497208140405E-08
2017				4.76101712474094E-08
2018				4.76711013744463E-08
2019				4.77316055069141E-08
2020				4.77921307673097E-08
2020.65173339844				4.78314581904871E-08
2021				4.79260571935769E-08
2022				4.81981742786959E-08
2023				4.84710175738471E-08
2024				4.87445827044999E-08
2025				4.90193473632959E-08
2026				4.92943786504218E-08
2027				4.95701351070325E-08
2028				4.9846629051509E-08
2029				5.0123856054168E-08
2030				5.04018172593902E-08
2030.65344238281				5.05836526737217E-08
2031				5.04433892948396E-08
2032				5.00376470793101E-08
2033				4.96303957095636E-08
2034				4.92216325894645E-08
2035				4.88118127090256E-08
2036				4.84000143810906E-08
2037				4.79866964844591E-08
2038				4.75718564119622E-08
2039				4.71554862298496E-08
2040				4.67375940208121E-08
2040.6552734375				4.6462740094059E-08
2041				4.64042307406721E-08
2042				4.62340242214824E-08
2043				4.60630981132096E-08
2044				4.58914615745788E-08
2045				4.57191081282473E-08
2046				4.55460365136882E-08
2047				4.53722403507983E-08
2048				4.51977286330373E-08
2049				4.5022494957469E-08
2050				4.48465380581798E-08
2050.65698242187				4.47364382806666E-08
2051				4.46859346038672E-08
2052				4.45382219140565E-08
2053				4.43897868793004E-08
2054				4.42406279316023E-08
2055				4.4090738531206E-08
2056				4.39401270622125E-08
2057				4.37887869629908E-08
2058				4.3636711739796E-08
2059				4.34839096648455E-08
2060				4.33299641937489E-08
2060.65893554688				4.32281464694464E-08
2061				4.32405590155766E-08
2062				4.32769225163042E-08
2063				4.33132361753944E-08
2064				4.33495095523991E-08
2065				4.33857375800449E-08
2066				4.34219200650336E-08
2067				4.34580519215774E-08
2068				4.34941427364915E-08
2069				4.35301874268912E-08
2070				4.3565773962426E-08
2070.66088867187				4.3589232785781E-08
2071				4.36980623554201E-08
2072				4.40196427884066E-08
2073				4.43421950623213E-08
2074				4.46657210182393E-08
2075				4.49902174392087E-08
2076				4.53156962561062E-08
2077				4.56417231421086E-08
2078				4.59691592016424E-08
2079				4.62975781766981E-08
2080				4.66269766811965E-08
2080.66284179687				4.68455091447458E-08
2081				4.65520001748368E-08
2082				4.56792894506482E-08
2083				4.48029006266817E-08
2084				4.39236764767561E-08
2085				4.30411891131115E-08
2086				4.21554269138191E-08
2087				4.12663832832488E-08
2088				4.03736661226493E-08
2089				3.9478048397049E-08
2090				3.85791294287514E-08
2090.66479492187				3.79793888331132E-08
2091				3.79565750273638E-08
2092				3.78879043095026E-08
2093				3.78192061084817E-08
2094				3.77501300492104E-08
2095				3.76806710409553E-08
2096				3.76104736476036E-08
2097				3.75402427129375E-08
2098				3.74696305377299E-08
2099				3.73986320593699E-08
2100				3.73268946530558E-08
2100.66674804687				3.73194084403792E-08
2101				3.75144990918644E-08
2102				3.81021549630734E-08
2103				3.86928269452846E-08
2104				3.92872451031761E-08
2105				3.98850611873638E-08
2106				4.04859001202865E-08
2107				4.10905387154722E-08
2108				4.16986076288195E-08
2109				4.23097193284098E-08
2110				4.29246757025981E-08
2110.66870117188				4.33374008543444E-08
2111				4.30648466246764E-08
2112				4.22377296692676E-08
2113				4.14049325428814E-08
2114				4.05660292607877E-08
2115				3.97206254263736E-08
2116				3.88694516316414E-08
2117				3.80121142096281E-08
2118				3.71482385004242E-08
2119				3.62785108706561E-08
2120				3.54022198899622E-08
2120.67065429687				3.48108871057524E-08
2121				3.50465102563922E-08
2122				3.57647093485045E-08
2123				3.64867387155717E-08
2124				3.72132908214083E-08
2125				3.7943681539336E-08
2126				3.86786389771228E-08
2127				3.94178222903299E-08
2128				4.01608672620023E-08
2129				4.0908535010907E-08
2130				4.16600722153799E-08
2130.67260742188				4.21677415276502E-08
2131				4.20158085655848E-08
2132				4.15489948318239E-08
2133				4.10790202522621E-08
2134				4.06050968239695E-08
2135				4.01279754452936E-08
2136				3.96468950434167E-08
2137				3.91625883346313E-08
2138				3.86743033838436E-08
2139				3.81827590564987E-08
2140				3.7687217634241E-08
2140.67456054687				3.73506611226185E-08
2141				3.75027772980743E-08
2142				3.79714627785441E-08
2143				3.84429565657494E-08
2144				3.89165488268597E-08
