id	redshift	xray_boxcar_2to10keV	xray_boxcar_0p5to2keV	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2463	0.3790446	1.3840000000000001	3.7439999999999998	nan	nan	nan	nan	3319.2	537.6999999999999	7800.7	247.29999999999998	17583.0	385.1	28124.0	568.1	37776.0	1870.0	58738.0	7921.0	76894.0	11470.0	89005.0	18160.0	51336.0	6212.0	27697.0	11990.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2469	0.6788668	2.3579999999999997	2.211	nan	nan	nan	nan	8037.699999999999	790.1	14264.0	328.1	22613.0	468.1	42622.0	699.0	58638.0	2439.0	81847.0	7926.0	113840.0	11470.0	162970.0	18180.0	204370.0	8788.0	171560.0	13380.0	878640.0	143100.0	nan	nan	nan	nan	nan	nan	nan	nan
2471	0.3996459	nan	4.747000000000001	nan	nan	nan	nan	18884.0	1020.0	25372.0	408.5	38788.0	558.5	55310.0	785.4	75084.0	2688.0	76441.0	6969.0	97966.0	11420.0	129220.0	16350.000000000002	145620.0	7572.0	152340.0	14170.0	655510.0	160300.0	nan	nan	nan	nan	nan	nan	nan	nan
2474	0.7309	1.887	5.946	nan	nan	nan	nan	10735.0	740.7	16074.000000000002	313.5	18825.0	387.79999999999995	23558.0	527.6999999999999	30765.0	1834.0	31680.0	4072.0	40017.0	6356.0	72222.0	8903.0	104820.0	6813.0	108650.0	13260.0	670460.0	154200.0	nan	nan	nan	nan	nan	nan	nan	nan
2476	0.934323	nan	8.272	nan	nan	nan	nan	87473.0	1697.0	94866.0	683.0	104970.0	755.8000000000001	97745.0	860.1999999999999	101550.0	2488.0	121550.0	4175.0	102130.0	6406.0	160260.0	8975.0	377420.0	12080.0	668690.0	22740.0	1330500.0	153800.0	4962500.0	1028000.0	nan	nan	nan	nan	nan	nan
2482	0.5794078	1.3860000000000001	6.297	nan	nan	nan	nan	4314.5	739.1	8460.4	291.0	16501.0	437.3	34755.0	702.0999999999999	47111.0	2445.0	74127.0	6969.0	113270.0	11500.0	124710.0	16530.0	148470.0	7572.0	107160.0	13180.0	367470.0	176400.0	nan	nan	nan	nan	nan	nan	nan	nan
2509	0.7186887	38.54	115.4	nan	nan	nan	nan	289680.0	3013.0	354990.0	1278.0	363170.0	1380.0	346700.0	1525.0	399840.0	4198.0	346450.0	4906.0	423680.0	6646.0	639650.0	10170.0	1431000.0	35770.0	2327200.0	55850.0	5596100.0	152700.0	16806000.0	1012000.0	66856000.0	10280000.0	64579000.0	10210000.0	63612000.0	11330000.0
2516	1.107525	nan	1.8619999999999999	21348.0	1261.0	50914.0	1229.0	41907.0	1194.0	46252.0	490.3	54084.0	573.3000000000001	49573.0	614.7	51192.0	1797.0	53660.0	4021.0	53527.0	6217.0	75936.0	8884.0	186910.0	8598.0	367470.0	17640.0	863150.0	146700.0	nan	nan	nan	nan	nan	nan	nan	nan
2521	0.7334824	5.462	13.93	nan	nan	nan	nan	2584.8	576.7	3507.6	227.6	8894.9	353.1	19254.0	558.4	38009.0	2052.0	65858.0	8093.999999999999	81926.0	11340.0	122110.0	18190.0	211260.0	9084.0	229310.0	14220.0	593340.0	146800.0	nan	nan	nan	nan	nan	nan	nan	nan
2522	0.4185443	2.799	10.489999999999998	12660.0	1697.0	17182.0	1561.0	20279.0	1111.0	30446.0	471.9	59553.0	696.8	84781.0	1034.0	112150.0	3062.0	146420.0	8070.0	189390.0	11430.0	227400.0	18330.0	206080.0	8861.0	217180.0	14770.0	434140.0	176700.0	nan	nan	nan	nan	nan	nan	nan	nan
2524	0.6121494	6.047000000000001	14.82	109820.0	4050.0	187890.0	3141.0	173030.0	2353.0	247020.0	1087.0	248890.0	1120.0	281990.0	1382.0	265910.0	3377.0	302550.0	4769.0	291120.0	6462.0	333300.0	9961.0	491620.0	15240.0	718500.0	23710.0	1478700.0	147300.0	3419200.0	986200.0	nan	nan	nan	nan	nan	nan
