id	redshift	xray_boxcar_2to10keV	xray_boxcar_2to10keV_err	xray_boxcar_0p5to2keV	xray_boxcar_0p5to2keV_err	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks_err	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2563	0.3047622	1.341	0.18964603871423202	4.072	0.5758677625983243	nan	nan	nan	nan	4484.0	759.8171622173323	7907.099999999999	833.6492752350956	14989.0	1551.4062169528652	19523.0	2028.973025941942	26970.0	3200.3965379308856	44409.0	8270.436615439357	41639.0	12005.234825275182	57649.0	8152.799765724656	48532.0	7768.520209151804	42936.0	14023.462516796628	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2598	0.3608	6.437	0.9103292700995613	26.9	3.8042344827836256	7474.599999999999	1145.175188169915	7535.0	1115.615319005615	13021.0	1584.9725865137227	15412.0	1579.0589381020582	27419.0	2787.926803199826	34805.0	3546.056110667173	63710.0	6854.595684648366	63395.0	9790.59657273243	85468.0	15126.076498550443	116390.0	16460.031652460453	70214.0	9782.11526000384	87827.0	16569.197907261536	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2667	0.1100022	25.25	3.5708892449920655	95.72	13.536852219035268	92579.0	9613.36634119391	100030.0	10146.763671240205	144260.0	14630.5611649041	250830.0	25109.53215414417	471680.0	47196.88575531229	756620.0	75698.36167315644	899970.0	90263.41955077926	1014500.0	101763.83786001784	1273000.0	127952.95268183536	1477000.0	208879.34316250615	1114900.0	115197.39667197345	1411300.0	146184.9821288083	3620000.0	408507.63762749895	5876800.0	1369502.3849559373	nan	nan	nan	nan	nan	nan
2700	0.277063	8.73	1.234608439951712	18.02	2.5484128393963172	nan	nan	nan	nan	2545.7000000000003	740.3437883172926	9810.5	1028.8630144484737	35813.0	3622.4413107737164	60445.0	6096.935677863102	89374.0	9333.446242412285	147000.0	16467.875667492757	198880.0	23516.69713203791	303400.0	42907.2394823997	193210.0	21431.474914247035	199540.0	25551.58930477711	965890.0	192488.1422867393	2739200.0	1305070.1768104273	nan	nan	nan	nan	nan	nan
2782	0.2755461	7.204000000000001	1.018799450333578	1.6869999999999998	0.23857782797234112	nan	nan	7439.5	1394.9414333584045	9724.3	1282.582470993581	23334.0	2366.4800971062486	58788.0	5913.621063274177	83376.0	8382.567397283485	119880.0	12314.529345452062	178050.0	18987.154868489382	236480.0	26204.80879533373	308440.0	43620.003117835746	285510.0	30543.11871764244	389070.0	42507.0470510479	981740.0	198654.0316127513	nan	nan	nan	nan	nan	nan	nan	nan
2850	0.3549812	1.936	0.2737917456754312	9.947	1.4067182304925177	nan	nan	nan	nan	5858.5	889.2588051293054	11064.0	1145.7254121298001	23109.0	2354.4211963877665	31403.0	3196.487913319868	43259.0	4743.861276428728	48886.0	8210.092932482556	76577.0	13691.708048669458	78356.0	11081.211789330624	63449.0	9017.772452773468	76142.0	14756.206885239852	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2878	0.4084936	21.15	2.991061684419096	124.3	17.57867458029757	nan	nan	nan	nan	5547.3	815.6772479970249	9360.5	970.5574957208873	15410.0	1582.2648324474635	24904.0	2544.7241815175175	36997.0	4113.463758196977	58096.0	7128.5772184917805	67935.0	8944.965245879941	87171.0	12327.841044562509	102710.0	12306.43254562426	120230.0	18325.431209114835	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
3015	0.2801454	0.5490999999999999	0.07765446670990664	5.597	0.7915353308602214	nan	nan	nan	nan	3618.7	769.9389955704283	17711.0	1805.487662655162	50368.0	5071.156547573739	75292.0	7575.437091679925	101070.0	10453.213525036212	154880.0	16787.39765419286	191350.0	21409.928561300712	212850.0	30101.53567511133	153900.0	17417.589844751772	157050.0	21341.26343495155	412990.0	144430.493321182	nan	nan	nan	nan	nan	nan	nan	nan
3092	0.1963534	4.787999999999999	0.6771254536642378	26.14	3.696754252043271	21752.0	2648.5120426382814	22859.0	2559.324092411901	33803.0	3574.772313029181	52020.0	5230.055927043228	97153.0	9746.33746234964	146720.0	14704.899510367284	176570.0	17892.91661524191	228440.0	23201.981294708432	277130.0	28445.783413363744	332340.0	46999.97353190744	243680.0	26068.122755580232	247530.0	28369.18414406731	411710.0	129233.514387716	2321600.0	849056.6268512366	nan	nan	nan	nan	nan	nan
3232	0.4127136	1.089	0.15400785694243005	3.855	0.5451793282948282	nan	nan	nan	nan	8084.300000000001	1004.7341065675039	12252.0	1252.6915182917141	21180.0	2150.195918980408	30543.0	3097.0986584221046	40779.0	4408.882444565743	52133.0	8967.982264143926	71762.0	13184.136165862366	79962.0	11308.334487447744	83105.0	10694.427111818566	73456.0	15001.474572854497	354100.0	138986.43135212877	nan	nan	nan	nan	nan	nan	nan	nan
3335	0.2415337	7.933000000000001	1.1218956190305764	9.873	1.3962530501309567	nan	nan	nan	nan	6750.200000000001	1154.7439588064533	25910.0	2630.8205944153624	71420.0	7181.261310521989	110460.0	11101.132419712865	141250.0	14573.58463110569	156560.0	17861.09585103893	218600.0	26734.092466362123	310360.0	43891.532121811375	262560.0	27995.691829279735	303690.0	33818.49436329181	1252100.0	179917.1589926875	3747600.0	929863.4618050115	nan	nan	nan	nan	nan	nan
3388	0.3938024	0.9523	0.13467555754478985	2.4	0.33941125496954283	nan	nan	nan	nan	5266.5	841.7927966548536	8510.400000000001	892.7827964292325	16860.0	1733.867688146936	20848.0	2163.868572718778	27494.0	3414.0557054623464	35919.0	7112.599145881904	43325.0	11109.610985538602	32923.0	4656.015311400941	55671.0	8032.22898142228	39122.0	11816.421151939365	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
3487	0.5936148	1.3539999999999999	0.19148451634531705	nan	nan	nan	nan	nan	nan	1899.7	463.9735885802122	2314.8	283.2264648651323	4034.0	464.1140053909169	6323.599999999999	724.7523574297638	10818.0	1729.1883182580202	15556.0	3977.789883842534	19070.0	6146.3239419998035	50943.0	7204.428150797258	104820.0	12388.378949644703	158350.0	20180.369793440357	819650.0	182537.3146099175	3351400.0	1015401.9251508242	nan	nan	nan	nan	nan	nan
3647	0.3405867	0.8928999999999999	0.12627512898429363	2.803	0.39640406153317853	nan	nan	nan	nan	7849.700000000001	1088.1593913117692	16320.0	1669.6347654502167	34675.0	3509.434293443888	42946.0	4351.274429405712	58194.0	6239.945541429028	90259.0	11414.247229230668	125720.0	16502.46296769061	139700.0	19756.563466352138	114510.0	13533.927626524386	123260.0	18140.738022473066	459230.0	195568.22832198485	nan	nan	nan	nan	nan	nan	nan	nan
3909	0.3701844	4.358	0.6163142704821948	13.34	1.8865608922057089	nan	nan	nan	nan	2531.1	655.0742798339742	6632.5	708.3447271632648	13001.0	1355.4822979294124	19686.0	2045.9096680938776	24622.0	3176.5512493898163	31188.0	6237.669231371602	48742.0	10715.720910886024	65274.0	9231.137607034141	97102.0	11581.42167611559	109550.0	16448.857863085814	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
3936	0.3485558	1.822	0.25766971106437797	1.789	0.2530028063085467	nan	nan	nan	nan	nan	nan	4216.0	472.48645483230524	15830.0	1629.074304628245	25391.0	2598.7287392107705	36219.0	4105.912275000526	51795.0	7558.587516857895	90669.0	13190.340238598852	104590.0	14791.259648860201	96744.0	11232.777010160933	92646.0	14612.4198256141	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
3966	0.3546876	2.169	0.3067429216787243	6.648000000000001	0.9401691762656337	nan	nan	nan	nan	12186.0	1413.6329827787692	15137.0	1541.6447483126583	24385.0	2470.6858359572957	32791.0	3321.321306347822	47312.0	5026.674590621517	55830.0	6555.607141981588	68341.0	8719.354781748476	93872.0	13275.505552708719	106470.0	12308.096278466463	101870.0	14992.497090211491	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
3976	0.1210506	12.290000000000001	1.738068468156534	37.42	5.291987150400122	8532.5	1759.7035439243737	13678.0	2010.85873198492	34420.0	3682.1499154705803	109710.0	10997.848198625039	208750.0	20904.27853335293	314090.0	31448.214273627684	371130.0	37392.69974206195	509750.0	51328.420918629476	641150.0	64882.01626028587	774840.0	109578.92366691689	667460.0	69135.72821631374	711260.0	74898.2561612752	2816000.0	324127.7680174903	4871100.0	1050200.129546745	nan	nan	nan	nan	nan	nan
3982	0.3884351	nan	nan	3.907	0.5525332388191683	10729.0	1555.3103902436967	11351.0	1473.1507085155952	11427.0	1348.116233861161	16123.000000000002	1642.3626670135925	27242.0	2761.4761414866507	34853.0	3533.0007146899934	53327.0	5634.076081310937	79182.0	8694.02043015773	79326.0	9436.549356623957	108390.0	15328.660802561977	135400.0	15199.488017693227	165210.0	21159.20227702358	452090.0	163667.78449346713	nan	nan	nan	nan	nan	nan	nan	nan
