id	best.stellar.m_star	bayes.stellar.m_star	bayes.stellar.m_star_err	best.reduced_chi_square	best.sfh.age_main	best.sfh.tau_main	bayes.agn.luminosity	bayes.agn.fracAGN	bayes.agn.luminosity_err	bayes.agn.fracAGN_err	redshift
2563	1943878078219445.2	4249860231479798.5	1767622860363362.8	7.782284098937326	500.0	200.0	4.0281081742017996e+42	0.14157839757410973	2.5799821325630887e+42	0.08130393386105515	0.3047622
4159	2495060979501241.5	3053243756676029.5	1247776008743299.5	4.636050450970536	500.0	200.0	8.196575270243762e+42	0.10581663355854848	1.926314275897762e+42	0.04149283958442344	0.3444124
4409	3847632309319695.0	4637641557196167.0	1017745341124705.6	8.586950289967191	1000.0	200.0	3.0839649609177134e+42	0.1609583772872229	2.0904026545497787e+42	0.09363912739594829	0.2551668
3388	4084082938419505.0	3565001834173927.5	1075354688857098.6	9.156857023166323	500.0	200.0	7.43775729357079e+42	0.10191718785496351	1.2532131343079707e+42	0.019718756915252895	0.3938024
4739	4112456061063118.0	2239984815799918.2	1386412177988724.2	8.910528541601618	7000.0	1000.0	4.221108106418079e+42	0.5395900962176735	3.5487567375170074e+41	0.2001206245297168	0.1531503
492	5062341541769703.0	5466134914564963.0	685295515544422.2	11.517483542914862	1000.0	200.0	2.1670134681439423e+42	0.100000036976194	3.200395211528111e+41	8.599557077066418e-05	0.181
3979	5085347872374778.0	6284063463130890.0	3121156703097856.0	7.554851795807902	1000.0	10000.0	2.366484928699124e+43	0.10035591625515618	1.6172405888604292e+42	0.008432386672482197	0.3897249
4951	5131182378352208.0	6946164184545325.0	1699770968667472.0	5.06793488150997	1000.0	200.0	6.523425713112656e+42	0.19712260648016378	3.658233315613784e+42	0.10004641348731377	0.4132244
5178	5328748696956144.0	6447415830541113.0	4629857796634913.0	10.678711904853682	1000.0	5000.0	2.189194436273029e+43	0.10001108876519396	2.331655376713948e+42	0.001489170936490863	0.7351
4029	5638098048213470.0	6281153163863801.0	888799703709875.8	6.0843737022615505	1000.0	10000.0	3.014403440217758e+43	0.09999999999999987	1.5072017201088793e+42	1.4419931670130267e-10	0.43569684
425	5649153876866125.0	6512093373967720.0	1258880071480977.8	9.487632875580521	1000.0	10000.0	2.9643185755825855e+43	0.10000000000000465	1.4821592877912927e+42	3.065014679484194e-08	0.3751061
2850	5704517775604668.0	7532495007698895.0	1695843493080417.2	8.439096151956365	500.0	200.0	5.683638901527428e+42	0.10000018782479893	5.582788590434292e+41	0.00019396102882512087	0.3549812
5005	5755087563472758.0	3855828209758487.0	3345459679442150.0	7.605402135934302	500.0	200.0	1.7685631330926202e+43	0.25442967644244613	3.512665256515234e+42	0.21500416797846233	0.4055346
4602	5774613857917012.0	7080821942956006.0	1043521326606559.1	7.217807995563164	1000.0	500.0	3.49621053816631e+42	0.10000006677685132	3.1559041412741925e+41	0.0001155654666055865	0.1662703
4692	6338759585024750.0	9526084103897850.0	3272593299755393.0	8.927957382460486	500.0	200.0	2.9370028070589403e+43	0.10000000000002192	1.9387937609072697e+42	6.625282570729451e-08	0.7545668
4054	6512654387493479.0	6688872724983267.0	2781722620003057.0	11.113181521543604	1000.0	10000.0	9.190554744313312e+42	0.10083764001512972	2.936329273311097e+42	0.013562149488232152	0.5842586
3909	6979864966154543.0	7495179317685319.0	2187073163467927.2	8.519549213179827	3000.0	7000.0	9.80171625771358e+42	0.23130926097440577	2.845767807254566e+42	0.09839604938402431	0.3701844
2471	7160958913932708.0	1.1246788062866992e+16	4996880844151637.0	6.184140591450755	500.0	200.0	2.8846710233464823e+43	0.10000000000010348	2.4613533482209064e+42	1.4388336868137356e-07	0.3996459
2832	7922958084307468.0	7874305205065136.0	427484105211019.44	9.904465293361673	1000.0	200.0	1.700052922461581e+42	0.10729220754465987	7.682049149760962e+41	0.037486867274737455	0.2273879
3966	9075897632573476.0	8991171929386471.0	3425022251139107.5	8.26665124402468	1000.0	200.0	1.3469032180042635e+43	0.11613431736288914	2.7784241713466956e+42	0.055024025645059024	0.3546876
3976	1.0746534976428992e+16	1.0774697536063654e+16	1174195442470203.8	6.620406849735628	1000.0	200.0	3.2305773274398514e+42	0.11820542881768019	1.8079668477432818e+42	0.05752954132530993	0.1210506
57494	1.1522290095469428e+16	1.163481391728374e+16	1310157275861010.5	9.442762394042605	1000.0	200.0	3.2896654999803243e+42	0.12410573004599415	2.0647171610599414e+42	0.06511574954611066	0.255
3939	1.1651474951906794e+16	1.4575124553450488e+16	3029068707551421.5	9.011940577475507	1000.0	200.0	2.2179099929842782e+43	0.10020004655236514	1.3830735675432018e+42	0.0063221422853250485	0.2672159
5087	1.185284931968813e+16	1.3025224614704198e+16	1825499692642946.5	8.139044252757058	1000.0	200.0	5.991110562348246e+42	0.10000132791995159	9.811512228548221e+41	0.0005153486801868361	0.3893034
2442	1.253064651109032e+16	1.3884209808194604e+16	1587924701478294.8	16.39238973187925	2000.0	2000.0	2.9588851696032377e+43	0.09999999999999996	1.497828650111241e+42	9.259723987429544e-10	0.4822131
2463	1.2608564193637058e+16	1.1163833223907974e+16	1638869291962150.2	9.313433469368576	1000.0	200.0	4.585082507821534e+42	0.10000003450767297	5.1699906806264825e+41	8.307546861450534e-05	0.3790446
3757	1.2713876682249252e+16	1.2658175483786146e+16	632908774189307.4	12.399545163753624	1000.0	200.0	9.334346650293691e+42	0.29999998788360377	4.667173325146846e+41	4.9226812851010025e-05	0.09009204
2598	1.2732902323645014e+16	1.4345645005383156e+16	3374514461813797.0	8.3465504178867	1000.0	200.0	1.4029691786111578e+43	0.1000013837483131	8.344329428519497e+41	0.0005261356363629356	0.3608
4139	1.2926444280327916e+16	1.5247979731340278e+16	3580942153272132.5	5.2842844726211275	1000.0	200.0	2.3339184617338106e+43	0.10003138365485598	1.628857960922618e+42	0.002505143915512154	0.3510128
2886	1.3122782758513772e+16	1.417540739447826e+16	2106082049629520.8	9.30653591483513	1000.0	200.0	1.6143736282448695e+43	0.29986600375924427	9.555463380962767e+41	0.010956518295926594	0.4184893
3647	1.3679433509621662e+16	1.496881862096599e+16	2976267115997136.5	7.555403096667064	1000.0	200.0	7.501498085337546e+42	0.10000369659771262	8.618941369449501e+41	0.0008598433846267217	0.3405867
2803	1.3904664406909472e+16	1.2656233354525146e+16	3650975500876858.0	6.289915152515506	1000.0	200.0	2.5284963172927174e+43	0.10000000000000007	1.2642481586463588e+42	4.5786506045263285e-09	0.2558845
5135	1.415153889291624e+16	1.4873611375829732e+16	2534211260840728.0	10.669920894047209	1000.0	200.0	3.5184380210685084e+42	0.1098614512740429	1.1570563248717578e+42	0.04330175554845752	0.1725541
4028	1.5011091080848626e+16	1.4808970464652474e+16	740448523232623.8	6.289755852990629	1000.0	200.0	2.884668995653785e+42	0.1000000053515679	1.5822451365816789e+41	3.271564686886703e-05	0.3929791
3232	1.526580515882892e+16	1.5422507241556786e+16	4340695675937970.5	8.01410921673707	1000.0	200.0	1.3338119589421794e+43	0.10000136292960425	1.8855488131323954e+42	0.0005222691395938064	0.4127136
89316	1.5832110347435426e+16	1.6582558398711084e+16	1779747457712042.5	12.629374590241268	1000.0	200.0	3.1527404918366014e+43	0.10000000000036045	1.576370245918301e+42	2.6851844552616606e-07	0.3428358
434	1.590096797975712e+16	1.6779816144353272e+16	1555177386289477.5	15.996490489458731	2000.0	1000.0	2.4314674852521527e+43	0.10000000000000137	1.2157337426260764e+42	1.6411047711367127e-08	0.3136635
4833	1.6033523405518576e+16	1.5363225451028738e+16	2482577384994649.0	9.352995013227977	1000.0	200.0	1.3414361848408285e+43	0.10000000000774935	2.3983453637343702e+42	1.2449376195416195e-06	0.4013355
50025	1.6707935433354404e+16	2.0632644412230664e+16	4058345287664688.0	8.497339376309702	2000.0	1000.0	6.019540043758273e+42	0.1000009084964313	9.020739970405045e+41	0.0004262624022191581	0.415
3335	1.6714194254624456e+16	1.680477834658257e+16	1944121065442949.8	8.750861586640193	1000.0	200.0	4.985588715610727e+42	0.1201739034202669	2.4689393503444186e+42	0.06023117388825279	0.2415337
2675	1.7195401725955006e+16	1.7661481990649472e+16	1330657075907389.8	14.045177400046637	3000.0	10000.0	3.191301244048983e+43	0.09999999999999999	1.5956506220244915e+42	1.9414643680046377e-10	0.4218133
4957	1.7463483850394228e+16	1.6281660154310034e+16	1756170761472406.8	9.378831905430674	1000.0	200.0	3.9989484212804404e+42	0.1000000003160637	1.0045344570395114e+42	7.950644268754704e-06	0.4008409
3015	1.762218280051244e+16	1.7697452642481006e+16	1214793813963011.8	8.675769902844786	1000.0	200.0	3.4287820595875956e+42	0.10000744218161524	2.773593507418573e+41	0.0012199921872622567	0.2801454
